threshold_k,kept_users,kept_users_pct,kept_interactions,kept_int_pct,retained_items,density,sparsity
3,191909,50.8,2482575,90.8,36326,0.000356,0.999644
5,126695,33.54,2260514,82.68,36130,0.000494,0.999506
6,107118,28.35,2162629,79.1,36045,0.00056,0.99944
7,92388,24.45,2074249,75.86,35945,0.000625,0.999375
8,80693,21.36,1992384,72.87,35832,0.000689,0.999311
10,63712,16.86,1848809,67.62,35626,0.000815,0.999185
15,39621,10.49,1567548,57.33,35134,0.001126,0.998874
20,27486,7.28,1363978,49.89,34665,0.001432,0.998568
